MCS up to size 6:
R_EX_h2o_e	R_EX_lac__D_e	R_PDH	R_PPC	R_PPM2TGforward	R_TPITGforward	
R_ASPT	R_MOX	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_ASPT	R_PYAM5PO	R_ETOHtrppTGreverse	R_H2OtexTGforward	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_MOX	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_LDH_DTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_MOX	R_D_LACtexTGreverse	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_lac__D_e	R_ASPT	R_MOX	R_ETOHtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ETOHtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_MOX	R_D_LACt2ppTGreverse	R_MDHTGreverse	
R_ASPT	R_MOX	R_D_LACtexTGreverse	R_ETOHtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_ASPT	R_PYAM5PO	R_D_LACtexTGreverse	R_ETOHtexTGreverse	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_MOX	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ETOHtexTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_ASPT	R_PYAM5PO	R_D_LACt2ppTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_MOX	R_ALCD2xTGreverse	R_MDHTGreverse	
R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_ALCD2xTGreverse	R_MDHTGreverse	
R_EX_etoh_e	R_EX_lac__D_e	R_ASPT	R_MOX	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_H2OtexTGforward	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_MOX	R_MDHTGreverse	
R_EX_etoh_e	R_EX_h2o_e	R_EX_lac__D_e	R_ASPT	R_PYAM5PO	R_MDHTGreverse	
